play_name,character_name,character_role,gender,description,,,,,,
Julius Caesar,Julius Caesar,Roman general,M,"Caesar is a general and the most powerful man in Rome. He begins the play as a victorious leader returning from battle. The people of Rome even offer to make him king and he seems to enjoy his power, even though he refuses the crown. Seen as too ambitious by the conspirators, he is eventually murdered by them to protect Rome and its ideals as a republic.",,,,,,
Julius Caesar,Calphurnia,Julius Caesar's wife,W,"Calphurnia is Caesar’s wife. She has come to believe in signs and omens? as warnings of the future. After having terrible nightmares and hearing reports of many bad omens, she warns Caesar against going to the Senate on the Ides of March. She also tells Caesar that his over-confidence is leading him to make bad decisions. After listening to her, Caesar agrees to stay but later changes his mind and Calphurnia’s advice is ignored.",,,,,,
Julius Caesar,Marcus Brutus,senator,M,"Brutus is a politician in the Roman republic. At the start of the play, he is worried that the people want Caesar to be king and to have complete power. When Cassius tells him he is worried about the same thing, Brutus joins him in a plot to assassinate Caesar. Brutus is convinced that killing Caesar is the right thing to do but after he is forced to flee and his loyal wife, Portia, commits suicide because of his actions, Brutus become more troubled. When Brutus senses defeat in battle, he takes his own life.",,,,,,
Julius Caesar,Portia,Marcus Brutus' wife,W,"Portia is Brutus' wife and the daughter of a noble Roman called Cato. She is used to being Brutus’ confidante and is upset when he doesn’t tell her what is happening and why he is worried. When Brutus eventually tells her about the plot, she is nervous about the danger he is in. She later kills herself after he has run away, out of grief that he is gone and his enemies have become so powerful.",,,,,,
Julius Caesar,Cicero,senator,M, ,,,,,,
Julius Caesar,Publius,senator,M, ,,,,,,
Julius Caesar,Popilius Lena,senator,M, ,,,,,,
Julius Caesar,Cassius,patricians,M,"Cassius is a talented general and supporter of the Roman republic. He dislikes the fact that Caesar has become like a king in the eyes of the Roman citizens and leads his friend Brutus to believe that Caesar must die. He is impulsive and deceptive, sending Brutus forged letters to convince him to murder Caesar. He is shrewd? and understands how the political world works but his friendship with Brutus means a lot to him. Despite never believing in omens, he starts to see signs of failure and loses confidence. When he senses defeat in battle, he knows it is time to die and kills himself with the blade that stabbed Caesar.",,,,,,
Julius Caesar,Pindarus,slave,M, ,,,,,,
Julius Caesar,Conspirators,patricians,M,"They are: Casca, Decius, Cinna, Metellus Cimber, Ligarius and Trebonius. They work together to recruit Brutus and to steer Caesar towards his death, collecting him from his house and accompanying him personally to the Capitol to make sure nothing goes wrong with their plan. When the time is right, they surround Caesar and all stab him, sharing responsibility for his death. When they are forced to run away they all go to fight with Cassius and Brutus.",,,,,,
Julius Caesar,Flavius,tribunes,M, ,,,,,,
Julius Caesar,Marullus,tribunes,M, ,,,,,,
Julius Caesar,Mark Antony,rulers of Rome,M,"Antony is a general in the Roman army and a loyal friend of Caesar. When Caesar is murdered, he flees the chaos but returns to shake hands with the conspirators. Speaking at Caesar’s funeral, he proves himself to be a charismatic and manipulative speaker and turns the crowd against the conspirators. Together with Caesar’s great-nephew, Octavius, Antony goes into battle against Brutus and Cassius’ armies and defeats them.",,,,,,
Julius Caesar,Lepidus,rulers of Rome,M, ,,,,,,
Julius Caesar,Octavius,rulers of Rome,M,"Octavius Caesar is a small but important role in the play. He is Caesar’s nephew and chosen heir, meaning that Octavius will rule Rome after Caesar dies. He is also an important friend to Antony and raises an army with him to fight Brutus and the conspirators. Octavius, together with Antony and Lepidus, forms the next Triumvirate to rule Rome at the end of the play.",,,,,,
Julius Caesar,Lucius,servant to Marcus Brutus,M, ,,,,,,
Julius Caesar,Cinna,poet,M,"Cinna is a poet in Rome. He shares the same name as one of the conspirators and is mistaken for him by the angry mob? of citizens after Caesar’s funeral. Despite protesting his identity and innocence, the mob surround him and, wanting revenge for Caesar’s murder, carry him off to tear him to pieces.",,,,,,
The Merchant of Venice,The Duke of Venice,a duke,M, ,,,,,,
The Merchant of Venice,The Prince of Morocco,suitor to Portia,M, ,,,,,,
The Merchant of Venice,The Prince of Arragon,suitor to Portia,M, ,,,,,,
The Merchant of Venice,Antonio,a merchant of Venice,M,"Antonio is the Venetian merchant described in the title of the play. He is extremely well liked by most characters apart from Shylock. Although Antonio is inexplicably sad at the start of the play, he is in a relatively secure position. Although he has no readily available cash, he has plenty of ships carrying fortunes at sea. As the play goes on his position becomes increasingly precarious as he has entered into a dangerous deal with Shylock, which nearly costs him his life.",,,,,,
The Merchant of Venice,Bassanio,suitor to Portia,M,Bassanio is a young Venetian gentleman who is a close friend of Antonio’s and in love with Portia. In order to woo Portia he needs money and so asks Antonio for a loan. It is this request which results in Antonio becoming ‘bound’ to Shylock and in danger of losing his life.,,,,,,
The Merchant of Venice,Solanio, ,M, ,,,,,,
The Merchant of Venice,Salarino, ,M, ,,,,,,
The Merchant of Venice,Salerio,a messenger from Venice,M, ,,,,,,
